firstname;gender
Arta;w
Artair;m
Artan;m
Arthur;m
Artur;m
Arturo;m
Arvid;m
Asa;m
Asenath;w
Ashely;w
Asher;m
Ashlee;w
Ashleigh;w
Ashley;w
Ashley;m
Ashli;w
Ashlie;w
Ashly;w
Ashlyn;w
Asja;w
Asmir;m
Asmus;m
Asser;m
Asta;w
Astrid;w
Astrit;m
Athena;w
Athene;w
Attilia;w
Attilio;m
Aubrey;w
Aubrey;m
Aude;w
Audrey;w
August;m
Augusta;w
Auguste;w
Auguste;m
Augustin;m
Augustinus;m
Augusto;m
Aurel;m
Aurèle;m
Aurelia;w
Aureliana;w
Aureliano;m
Aurelie;w
Aurélie;w
Aurelien;m
Aurelio;m
Aurora;w
Aurore;w
Austin;m
Autumn;w
Ava;w
Avdotja;w
Avril;w
Axel;m
Axelle;w
Ayisha;w
Ayla;w
Ayla;w
Ayleen;w
Aylin;w
Azalea;w
Azalee;w
Azra;w
Babette;w
Babsi;w
Bailey;m
Bairre;m
Bajram;m
Baldassare;m
Baldassarre;m
Baltasar;m
Balthasar;m
Balthazar;m
Baptist;m
Baptiste;m
Barbara;w
Bärbel;w
Barbra;w
Barnabas;m
Barnaby;m
Barney;m
Barney;m
Barry;m
Barthold;m
Bartholomäus;m
Bartholomew;m
Bartolo;m
Bartolomé;m
Bartolomeo;m
Basil;m
Basile;m
Basìlio;m
Bastian;m
Bastien;m
Batista;m
Battista;m
Batuhan;m
Bautista;m
Bea;w
Beat;m
Beata;w
Beate;w
Beath;m
Beato;m
Beatrice;w
Béatrice;w
Beatrix;w
Beatriz;w
Becky;w
Beda;m
Bedrich;m
Béla;m
Belinda;w
Belinde;w
Bella;w
Belmin;m
Beltrame;m
Beltrán;m
Ben;m
Benedetta;w
Benedetto;m
Benedict;m
Bénédict;m
Benedicta;w
Benedikt;m
Benedikta;w
Benedita;w
Bengt;m
Beniamino;m
Benita;w
Benito;m
Benjamin;m
Benjy;m
Bennet;m
Bennett;m
Bennie;m
Benno;m
Benny;m
Benoît;m
Bent;m
Bente;w
Bento;m
Beppe;m
Beppina;w
Berenice;w
Bérénice;w
Berenike;w
Berfin;w
Berit;w
Berkay;m
Bernadett;w
Bernadette;w
Bernard;m
Bernarda;w
Bernarde;w
Bernardo;m
Bernd;m
Berndt;m
Bernhard;m
Bernhard Rudolf;m
Bernharda;w
Bernharde;w
Bernice;w
Bernicia;w
Bernie;m
Bert;m
Berta;w
Berte;w
Bertha;w
Berthe;w
Berthild;w
Berthilde;w
Berthold;m
Bertie;m
Berto;m
Bertold;m
Bertoldo;m
Bertolt;m
Bertram;m
Bertrame;m
Bertrand;m
Beryl;w
Beryll;w
Besart;m
Besarta;w
Besjana;w
Besmir;m
Besnik;m
Bessie;w
Bessy;w
Beth;w
Bethany;w
Betim;m
Betina;w
Betsy;w
Bettina;w
Betty;w
Beulah;w
Beverley;w
Beverly;w
Bhreac;m
Biaggo;m
Biagio;m
Biago;m
Bianca;w
Bianka;w
Bibiana;w
Bibiane;w
Biljana;w
Bill;m
Billie;m
Billy;m
Birger;m
Birgid;w
Birgit;w
Birgitt;w
Birgitta;w
Birte;w
Birthe;w
Bjarne;m
Björn;m
Blaise;m
Blake;m
Blanca;w
Blanche;w
Blanka;w
Blas;m
Blaz;m
Blerim;m
Blerina;w
Blerta;w
Blossom;w
Bob;m
Bobbie;m
Bobby;m
Bodo;m
Bojan;m
Bojana;w
Bonifacio;m
Bonifatius;m
Bonifaz;m
Bonnie;w
Borchard;m
Borghild;w
Boris;m
Borislaw;m
Bozidar;m
Bozydar;m
Brad;m
Bradley;m
Brady;m
Braida;w
Branden;m
Brandi;w
Brandie;w
Brandon;m
Brandy;w
Branislav;m
Branko;m
Branwen;w
Bras;m
Bratislav;m
Bratislava;w
Breanna;w
Breck;m
Brenda;w
Brendan;m
Brenden;m
Brenna;w
Brent;m
Brett;m
Brian;m
Briana;w
Brianna;w
Brianne;w
Brice;m
Bridget;w
Brigida;w
Brigitta;w
Brigitte;w
Brita;w
Britney;w
Britta;w
Brittani;w
Brittany;w
Brittney;w
Brizio;m
Bronislaw;m
Bronwen;w
Brook;w
Brooke;w
Brooklyn;w
Brooks;m
Bruce;m
Bruna;w
Brunhild;w
Brünhild;w
Brunhilde;w
Brünhilde;w
Bruno;m
Brunone;m
Bryan;m
Bryce;m
Bujar;m
Burghard;m
Burghild;w
Burghilde;w
Burhan;m
Burim;m
Burkard;m
Burkart;m
Burkhard;m
Burkhart;m
Büsra;w
Byron;m
Cäcilia;w
Cäcilie;w
Caesar;m
Cailean;m
Cainan;m
Cainneach;m
Caio;m
Caitlin;w
Caleb;m
Calisto;m
Callisto;m
Callum;m
Calum;m
Calvin;m
Camella;w
Camellia;w
Cameron;m
Cami;w
Camill;m
Camilla;w
Camille;w
Camille;m
Camillo;m
Camilo;m
Can;m
Candace;w
Candice;w
Cansu;w
Caoimhin;m
Cara;w
Caren;w
Caridad;w
Caridade;w
Carin;w
Carina;w
Carine;w
Carinna;w
Caritas;w
Carl;m
Carla;w
Carlo;m
Carlos;m
Carlota;w
Carlotta;w
Carlton;m
Carmel;w
Carmela;w
Carmelia;w
Carmelo;m
Carmen;w
Carmina;w
Carmine;m
Carol;w
Carola;w
Carole;w
Carolin;w
Carolina;w
Caroline;w
Carolyn;w
Carolyne;w
Carri;w
Carrie;w
Carsten;m
Cäsar;m
Casey;w
Casey;m
Casimir;m
Caspar;m
Cassandra;w
Cassidy;w
Catalina;w
